UNSATURATED UNIT WT,SATURATED UNIT WT,VOID RATIO,COHESION,ANGLE OF FRICTION,HEIGHT,SLOPE ANGLE,FOS
19.19,19.37,0.67,22.8,14.5,6,26.67,2.011
19.39,19.6,0.622,37.9,12,6,26.67,2.674
19.42,19.73,0.6,39.4,11.5,6,26.67,2.719
19.48,19.83,0.585,45.9,12,6,26.67,3.082
19.06,19.13,0.704,24.8,8,6,26.67,1.778
19.29,19.38,0.658,30.2,12,6,26.67,2.272
19.39,19.57,0.627,36.7,10.5,6,26.67,2.522
19.4,19.75,0.597,45.8,11.5,6,26.67,3.057
19.29,19.58,0.624,36.9,11,6,26.67,2.573
19.39,19.68,0.608,38.4,12.5,6,26.67,2.729
19.1,19.27,0.69,28.4,10,6,26.67,2.079
19.2,19.55,0.63,33,9,6,26.67,2.258
19.3,19.74,0.61,40.1,9.5,6,26.67,2.651
19.3,19.74,0.61,42.2,10,6,26.67,2.791
19.2,19.68,0.62,35.6,9,6,26.67,2.396
19.2,19.74,0.61,39.7,9,6,26.67,2.612
19.2,19.62,0.62,34,9.5,6,26.67,2.34
19.3,19.74,0.61,42.9,10,6,26.67,2.828
19.3,19.42,0.662,29.2,16,6,26.67,2.439
,,,,,,,
19.02,19.07,0.715,32,6,7,33.69,1.688
19.02,19.26,0.749,25.6,6,7,33.69,1.415
19.06,19.5,0.638,29.8,8,7,33.69,1.681
19.01,19.07,0.715,24.2,6,7,33.69,1.357
19.09,19.39,0.666,21.2,12.5,7,33.69,1.488
19.09,19.15,0.703,29.6,7.5,7,33.69,1.648
19.14,19.17,0.703,22.88,12,7,33.69,1.54
19.19,19.54,0.642,23.4,14,7,33.69,1.644
19.022,19.1,0.708,20.9,12.5,7,33.69,1.478
19.2,19.57,0.637,23.9,13.5,7,33.69,1.645
19.11,19.21,0.694,21.6,14,7,33.69,1.566
19.19,19.37,0.67,22.8,14.5,7,33.69,1.637
19.39,19.6,0.622,37.9,12,7,33.69,2.193
19.42,19.73,0.6,39.4,11.5,7,33.69,2.233
19.48,19.83,0.585,45.9,12,7,33.69,2.534
19.06,19.13,0.704,24.8,8,7,33.69,1.463
19.29,19.38,0.658,30.2,12,7,33.69,1.86
19.39,19.57,0.627,36.7,10.5,7,33.69,2.073
19.4,19.75,0.597,45.8,11.5,7,33.69,2.515
19.29,19.58,0.624,36.9,11,7,33.69,2.112
19.39,19.68,0.608,38.4,12.5,7,33.69,2.237
19.1,19.27,0.69,28.4,10,7,33.69,1.704
19.2,19.55,0.63,33,9,7,33.69,1.857
19.3,19.74,0.61,40.1,9.5,7,33.69,2.183
19.3,19.74,0.61,42.2,10,7,33.69,2.298
19.2,19.68,0.62,35.6,9,7,33.69,1.972
19.2,19.74,0.61,39.7,9,7,33.69,2.151
19.2,19.62,0.62,34,9.5,7,33.69,1.924
19.3,19.74,0.61,42.9,10,7,33.69,2.328
19.3,19.42,0.662,29.2,16,7,33.69,1.988
19.02,19.07,0.715,32,6,7,45,1.512
19.02,19.26,0.749,25.6,6,7,45,1.26
19.06,19.5,0.638,29.8,8,7,45,1.49
19.01,19.07,0.715,24.2,6,7,45,1.206
19.09,19.39,0.666,21.2,12.5,7,45,1.294
19.09,19.15,0.703,29.6,7.5,7,45,1.463
19.14,19.17,0.703,22.88,12,7,45,1.342
19.19,19.54,0.642,23.4,14,7,45,1.424
19.022,19.1,0.708,20.9,12.5,7,45,1.285
19.2,19.57,0.637,23.9,13.5,7,45,1.427
19.11,19.21,0.694,21.6,14,7,45,1.354
19.19,19.37,0.67,22.8,14.5,7,45,1.415
19.39,19.6,0.622,37.9,12,7,45,1.934
19.42,19.73,0.6,39.4,11.5,7,45,1.974
19.48,19.83,0.585,45.9,12,7,45,2.245
19.06,19.13,0.704,24.8,8,7,45,1.294
19.29,19.38,0.658,30.2,12,7,45,1.629
19.39,19.57,0.627,36.7,10.5,7,45,1.831
